Title,Type(s),עיתון,חשוב,הערות,כלל-פרט (נקודתי),כלל-פרט (כללי)
"אנשי ""היום שאחרי"" הם אנשי האתמול",Ultra-Nationalism,ynet,!!!,,"  • בפועל, שאלת ""היום שאחרי"" לא הייתה רלוונטית כל עוד חמאס בשלטון. למעט מחשבה נגועת קונספציה, אין שום היגיון בדיונים על היום שאחרי כשחמאס עדיין שולט בעזה. כל דיון כזה הוא בגדר חשיפת התוכניות הישראליות לאויב.
  • עד כדי כך היו נואשים מעצבי דעה ישראלים, עיתונאים ובכירים בצה""ל לחזור ולהתחפר בקונספציות העבר.
  • אנשי ""היום שאחרי"" רצו להשאיר את ישראל בעבר המדמם, בבוץ העזתי, להשאיר את עזה בקונסטלציה דומה ולשמר את הסכסוך ולכן הם אנשי האתמול. 
  • אנשי האתמול הם שהלכו יד ביד עם מדיניות ממשל ביידן שמנע מישראל חימוש והמשיך את העברת הסיוע ההומניטרי לחמאס בעזה.
  • טוב שאזרחי ישראל לא נפלו בפח התודעתי של אנשי האתמול. הם ידעו שההפחדות של גלנט בדבר היום שאחרי אינן מציאותיות. שהדרישה של בכירי צה""ל לעסוק בסוגיה מדינית אינה ראויה. באינטואיציה בריאה והיגיון נקי משגיונות העבר הם ידעו ששווה לחכות לשיגעון אחר - ""השיגעון"" של האיש שכבר הפך את החלומות המטורפים ביותר למציאות.
  • ","  •  אחד לא יודע איך ייראה כיבוש אמריקני של עזה וכיצד בדיוק ייראה הסיוע ההומניטרי האמריקני לעזתים שיהגרו לחיים טובים יותר במקום אחר - סיוע ראוי יותר מהמשאיות שנכנסו לעזה ונבזזו על-ידי חמאס ומיליציות אחרות.
  • ישראל הייתה יכולה לפספס הזדמנות פז היסטורית לשינוי המזרח התיכון. תיקון עוולות ההיסטוריה כמו אוסלו, ההתנתקות, טיפוח חמאס והדבר הגדול ביותר: הטעות שאנחנו עשינו לאורך השנים כשטיפחנו את הנרטיב הפלסטיני ואת הקשר השקרי לאדמה וצדקת המאבק שלהם.
  • אומנם אין לדעת מה יהיה, אבל אפשר לקבוע בוודאות שאנשי האתמול תמיד טעו. מזל שהם לא חלק מעיצוב היום שאחרי שכל כך רצו בו."
עסקת החטופים: בין הלב להיגיון,Ultra-Nationalism,ישראל היום,!!!,,"  • הדילמה מעמתת שתי גישות מנוגדות: מצד אחד, הרצון העז להשיב את היקירים הביתה, ומצד שני, האחריות להגן על ביטחון הציבור כולו. בעוד קולות רבים קוראים להקשיב לזעקת המשפחות, אחרים מזהירים מפני קבלת החלטות המונעת מרגש בלבד.
  • עסקת שליט היא דוגמה מובהקת לכך. הקמפיין ""הילד של כולנו"" יצר לחץ ציבורי אדיר, ומדינה שלמה שמחה עם חזרתו של גלעד. אך תמורתו שוחררו 1,027 אסירים, וביניהם סינוואר שהוביל את הטבח ב-7 באוקטובר. המיקוד בגורלו של אדם אחד הסיט את המבט מהסכנה העתידית לחיי רבים.
  • [העסקה הנוכחית] כוללת שחרור נרחב של מחבלים תמורת כל חטוף, מפקירה חלק מהחטופים, ומשאירה את החמאס עם קלף מיקוח משמעותי. יש לכך משמעות אחת: מדובר בעסקה בלתי רציונלית המושפעת מהרגש החווה את מצוקת החטופים, ומתעלמת מהנזק שיפקוד את מדינת ישראל בעתיד. ממילא זו עסקה בלתי מוסרית.","  • חטופים שבים לחיק הוריהם - איך אפשר שלא להיות בעד, לשמוח ולהתרגש? מחבלים שטבחו ואנסו משתחררים ומסכנים את שלום הציבור – איך אפשר שלא להתנגד ולחשוש? בעד או נגד – איך מכריעים בדילמה המוסרית?
  • האמפתיה שמה ""זרקור המופנה לעבר אנשים מסוימים כאן ועכשיו"", ולכן היא גורמת לדאגה ליחיד על פני טובת הציבור.
  • לפי פרופ' בלום אנחנו צריכים לנהוג ב""חמלה רציונלית"", בה האדם מרגיש בקושי הזולת, אך לא באופן בו שיקול דעתו נפגע.
  • נתניהו עצמו כתב בספרו 'מקום תחת השמש' (בעקבות עסקת ג'יבריל): ""אולי היתה כאן הצלה של נפשות אחדות בישראל, אלא שלי ברור שהדבר נעשה במחיר הרבה נפשות שנידונו למוות בגלל החלטה זו... מדינה חייבת לכלכל את צעדיה קודם כל לטובת הכלל""
  • אך כיום, במקום לעמוד בלחצים ולדרוש את המחיר הכבד של שחרור החטופים מהחמאס ותושבי רצועת עזה התומכים בו, הוא מוביל להסכם שמשאיר את חמאס על כנו ומקרב את הטבח הבא.
  • מתנגדי העסקה הנוכחית, שביניהם גם משפחות חטופים, אינם חסרי רגישות. להפך - הם מבקשים להרחיב את המבט מרגישות נקודתית לרגישות חברתית רחבה יותר: רגישות ששמה לנגד עיניה את העתיד ולא רק את ההווה, את הכלל ולא רק את הפרט. כך הכרחי לנהל מדינה.
  • "
"ידיו הארוכות, מוחו הקטן",Ultra-Nationalism,ערוץ 7,!!,,"  • ליל שבת קודש, פרשת שמות, מאהל הגבורה, ירושלים. בחוץ, על המדרכה, עשרות ארונות קבורה מקרטון, מכוסים בדגלי ישראל. מיצג מצמרר שהוצב כאן באמצע השבוע בניסיון נואש להעלות לסדר היום את מחיר העסקה המופקרת. אבל זה חסר סיכוי. מה הם כמה ארונות קבורה מקרטון, או אפילו ארונות קבורה אמיתיים בהר הרצל, שלא נדע, מול תקשורת שבמשך שעות על גבי שעות משדרת אושר. רק אושר.
  • וד נעסוק בתקשורת ובדרך שהיא מספרת את סיפור העסקה. אבל בינתיים נחזור פנימה, לתוך האוהל החם, המלא עד אפס מקום במתפללים. בין קבלת שבת לערבית מדבר הרב ניסן לישה, אביו המרשים של דביר הי""ד, לוחם גולני, שנפל בקרב גבורה מול מחבלים שבאו מכיוון חוף זיקים בבוקר שמחת תורה.
  • כשקמפיינרים פוליטיים, ואיתם כל התקשורת, עוטפים בציניות את העסקה המופקרת הזאת, במילים כמו ""גבורה"", ""אומץ"", ""ניצחון"", ועוד כמה ביטויים שהם בדיוק ההפך מהמציאות שאליה הובלנו – אסור לשתוק. האושר הזה יעלה לנו בדם רב, חלילה.
  • הדילמה לא מנוסחת נכון: זה לא נקמה מול הצלת חיים, אלא הצלת חיים של מעטים, של מעטות, מול מוות, חלילה, של רבים. 
  • ","  • אפשר לעצור כאן, ואפשר ללכת עוד כמה שנים אחורה, אל הגירוש של דביר [הי""ד, לוחם גולני, שנפל בקרב גבורה מול מחבלים] הקטן ומשפחתו מגוש קטיף. הנה לכם תמצית הסיפור לוועדת החקירה.
  • לא באתי למאהל הגבורה כדי להיזכר שמדינת ישראל לא לומדת לקח ממעשי האיוולת של עצמה. בשביל זה לא צריך לצעוד עד לכאן, אפשר לפתוח את העיתון. 
  • אומר המדרש: ""אף על פי שמת יוסף ואחיו – אלוקיהם לא מת"". החפץ חיים מת, אמר ר' ירוחם בהספד ההוא, אבל מי שברא אותו לא מת. הוא איתנו. ""גם כשיש מצבים קשים"", אומר הרב אליהו אחרי כל מה שהוא ומשפחתו עברו, ""יוסף מת, ראשי השבטים מתים, החפץ חיים מת... בכל זאת בורא עולם קיים ובני ישראל ממשיכים בדרך לגאולתם. אנחנו נתחזק. פעלנו ועוררנו מתחילת המלחמה וגם השבוע. בשמיים הכול נרשם, שום דבר לא היה לשווא, וכל פעולה קטנה תביא ברכה גדולה לעם ישראל"".
  • הדיבורים ששמעתי בפנים היו באמת מחזקים ומעודדים. אבל בעצם, רוב עם ישראל לא צריך בכלל את העידוד הזה, כי מבחינתו, מה שקורה ברגעים אלה ממש, מרחק כמה מאות מטרים מכאן, ישיבת הממשלה שמאשרת את העסקה, הוא דבר משמח. אומנם משחררים רוצחים, אומנם עוצרים את המלחמה, ומי יודע בכמה הרוגים זה יעלה לנו חלילה, אבל ביום ראשון ישתחררו שלוש חטופות. איזה יופי.
  • מי יכול לא להתרגש ממראות כאלה של שלוש צעירות גיבורות שיוצאות בחיים מתוך התופת, ומתאחדות עם משפחותיהן ועם החיים?
  • לא תמיד משדרים באולפני החדשות רק תבהלה, לפעמים משדרים שם תקווה ושמחה ורגש. המון המון רגש. רק שתמיד זה בכיוון ההפוך מהמציאות. כשצריך לשמוח - הם עצובים ומדוכאים, כשאסור לאבד תקווה - הם מייאשים, וכשצריך לחשוש ולזעוק – הם חוגגים. אולי צריך לקרוא להם ""ערוצי האשליה"". כמה אשליה מכרו לנו שם במשך עשרות שנים, ממדשאות הבית הלבן עם היונים הלבנות בימי אוסלו ועד ההתנתקות. וכמה אשליה מכרו לנו שם השבוע.
  • הרי בין המחבלים שכבר שוחררו, ושעוד ישוחררו בשבועות הקרובים, יש רבים ורעים עם יכולות ארגון מוכחות לרצח וחטיפת יהודים. והמוטיבציה שהייתה להם עד היום היא כלום לעומת מה שהם חשים אחרי ההצלחה של ה־7 באוקטובר ואחרי שהורידו את ישראל על הברכיים בעסקת החטופים.
  • יהיו כאלה שיאמרו, בחישוב הכללי של מחבל שישב עשרות שנים בכלא, מול הערך של הצלת חיי החטוף, הערך השני גובר. נניח. אבל הרוצחים שמשתחררים בימים אלה בעסקה הם עם דם טרי על הידיים. הם ישבו שנים ספורות מאוד בכלא. ושוב, המשמעות של שחרור מחבלים כאלה, עם פז""ם כה צעיר, היא לא רק פגיעה בערך הנקמה (החשוב!), אלא בראש ובראשונה פגיעה בערך ההרתעה. 
  • ואחרי שאמרתי את זה, ברור לי שכדי שנתניהו אכן ילך לכיוון הנכון, חשובה המחאה שלנו.  ביבי צריך עכשיו ימין חזק
  • ייתכן מאוד שהוא הלך על העסקה הזאת לא בגלל הפגנות השמאל הסוערות אלא דווקא בגלל ההיסחפות הימנית־דתית בחודשים האחרונים לקמפיין הצהוב והמרגש, שאמר, בלי שמשתתפיו שמו לב, ""עכשיו, בכל מחיר!"".
  • והאמת? זה כבר ממש מייאש. הקמפיין הפוליטי משמאל שנועד לסיים את המלחמה בטרם ניצחון, ולהפיל את הממשלה בטרם ניצחון, בסופו של דבר הצליח לבלבל חלקים נרחבים בימין."
לשבור את קשר השתיקה: מחיר הדמים של עסקת חטופים,Ultra-Nationalism,ישראל היום,!,,"  • מציאת איזון בין שני מאזנים: ""מאזן האימה של המשפחות החרדות לגורל יקיריהן, ומאזן האומה, שמירה על חייהם של כלל אזרחי המדינה ומניעת אפשרות של חטיפות ורציחות נוספות לאחר שארגון הטרור יקבל פרס על טבח שמחת תורה"".
  • ","  • ניתן לבחור גם בדרך שלישית: להבין שמדובר בעסקה רעה, שייתכן ואין מנוס ממנה, אך במקביל, לשבור סוף סוף את חומות השתיקה התקשורתית שנבנו סביב מחיריה הנוראיים, הדומות להחריד לקשר השתיקה שהשתררה כאן ערב עסקת שליט, שהביאה עלינו נהרות של דם ואש.
  • לתהות בקול, מדוע השיח על מחיר העסקה עוסק לאורך חודשים רק בפילדלפי ובציר נצרים או בחזרת העזתים לצפון הרצועה ובסיום המלחמה, אבל שחרור מאות רבות של מחבלים, מאות ""סינווארים"" בפוטנציה, כלל אינו חלק מהשיח, ומתקבל כעובדה מוגמרת וכגזירת גורל מובנת מאליה, שאיתה ""כבר נתמודד"" ונכיל.
  • להטיל ספק בהערכת שב""כ וצה""ל, שיידעו להתמודד עם המחבלים המשוחררים. ערב עסקת שליט, הם חתמו על שטר זהה, וטעו בקריאת המציאות שלהם. 
  • להזכיר, כי מאז 1985 ישראל שחררה אלפי מחבלים במסגרת עסקות, מחוות, או מתווים מדיניים, וכחצי מהם! שבו לעסוק בטרור ולרצוח יהודים. מאות נרצחו או נפצעו מידי המחבלים הללו הרבה לפני טבח שמחת תורה. לזכור שהמחבלים המשוחררים בעסקת ג'יבריל בקיץ 1985 הפכו לשדרה המרכזית של האינתיפאדה הראשונה שבה נרצחו 165 ישראלים; שכמחצית מהטרוריסטים ששוחררו בעקבות הסכמי אוסלו השתלבו במנגנוני הטרור הפלשתיניים ורבים מהם השתתפו באינתיפאדה השנייה שבה נרצחו 1,178 ישראלים; שמשוחררי עסקת שליט בנו את עיר הטרור הגדולה בעולם, עזה, והביאו עלינו את טבח 7 באוקטובר. לשאול, לאן יביאו אותנו משוחררי עסקת החטופים 2025?
  • לפרסם מידע חדשותי, שבמקום לחרוך את הרשתות, נדחק והודחק, על בכירי צה""ל ושב""כ שהודו בישיבת הקבינט הבטחוני־מדיני כי נחשול המחבלים המשוחררים, שיציף את שטחי יו""ש ועזה יהיה בבחינת קטסטרופה.
  • כל כניעה דומה בעבר מול טרור שחטף את אנשינו, הולידה את מבצע החטיפה הבא, ולימדה את חמאס ודומיו שאין משתלם מטרור החטיפות.
  • לפני כחצי שנה הבאתי כאן מדבריהן של הדס מזרחי, אלמנתו של ברוך, ושל דבורה גונן, אמו השכולה של דני. שניהם נרצחו על ידי משוחררי עסקת שליט. מזרחי דיברה אז על החלפת דם החטופים בדם הנרצחים בעתיד. גונן, ציינה שההבדל בין החטופים לבין הדור הבא של הקורבנות שיירצחו בידי משוחררי העסקה הקרבה, הוא שלחטופים יש פנים ושמות, ולנרצחים הבאים עדיין אין, בעוד שלדור הקודם של הנרצחים, שמשוחררי העסקות הקודמות רצחו, יש גם פנים וגם שמות.
  • "
עסקת החטופים המסתמנת במבט מפוכח,Ultra-Nationalism,ערוץ 7,!,לא רלוונטי לכלל-פרט,,
הניצחון המוחלט? הכישלון המוחלט,Ultra-Nationalism,ynet,,לא רלוונטי לכלל-פרט,,"  • ישראל נכשלה. ראש הממשלה ושריו יכולים לפזר הצהרות לוחמניות, אבל אלו הן לא יותר מאשר השורות שכתב דני סנדרסון: ""מילים יפות ללא כיסוי והבטחות ללא גיבוי""."
"איל זמיר אינו ראוי להיות רמטכ""ל",Ultra-Nationalism,ערוץ 7,,,,"  • כלומר המושג טוהר הנשק במקורו כוון להימנעות מפעולה שמטרתה פגיעה מכוונת באזרחים. בין אם הם באמת חפים מפשע ובין אם הם רק בלתי מעורבים. אולם, ""טוהר הנשק"" כפי שהוא מפורש ומוטמע היום בצה""ל הוא ענין שונה לגמרי.
  • טוהר הנשק הנהוג היום בצה""ל בנוי על תפיסותיו של פרופ' מיכאל וולצר בספרו Just and Unjust Wars - מלחמות צודקות ולא צודקות. לדעתו אנשי הצבא מחויבים לשלומם של אזרחי האויב בדרגה די קרובה שהם מחוייבים לשלומם של אזרחיהם.
  • הצבא הוא מעין גוף ניטרלי המגן על אזרחים באשר הם. הצבא בתפיסתו אינו גוף לאומי שמטרתו הגנה על אזרחיו בלבד. מבחינת וולצר אין לצבא אחריות מוסרית כלפי ההורים הנשים והילדים ששלחו את בניהם, את הוריהם, את בעליהן, לקרב.  לטעמי, רק יהודי התלוש מלאומיות ומשורשיות לאומית מסוגל להפעיל תבנית חשיבה כזו.
  • הרמטכ""ל לשעבר, בני גנץ, התגאה שסיכן את חיילי גולני שפעלו בשכונת סג'עיה שבעיר עזה כדי להימנע מפגיעה באזרחים. כאשר הותקף על כך ענה: מה התפקיד של הצבא? לשמור על האזרחים ולקחת על עצמו סיכון.  גנץ לא מבדיל בין ההורים, האחים, האחיות, הנשים, הילדים, של חיילי גולני לבין הורי המחבלים הערבים. מבחינתו, כולם כאחד אותם אזרחים שהצבא לוקח על עצמו סיכון כדי להגן עליהם.
  • הרצל [הרצי הלוי] לא מבדיל בין אחריותו כלפי אימהותיהן של חילי צה""ל ששלחו את ילדיהן להיות תחת אחריותו לבין אחריותו לחיי האויב. כולם מבחינתו אותם אזרחים.
  • המאמר [של האלוף אייל זמיר, שבזמן כתיבת השורות הללו מועמד לרמטכ""ל] כולו עוסק אך ורק בצורך לשמור על חיי אזרחי האויב ולפגוע בהם במידה המינימאלית. אין שום התייחסות לשאלה הקריטית מה דינו של מפקד שסיכן את חייליו על מנת שלא לפגוע באויב והסיכון התממש וחיילים נפצעו ונפלו בגללו.
  • וכפי שאמר אב שכול – בעיני המפקדים כל הערבים חפים מפשע. היחיד שאינו חף מפשע בעיניהם הוא אני.
  • מן הראוי להרים סוף סוף את הכפפה שהטיל לפנינו וולצר ולמנות מפקדים הראויים לכך לפי העקרונות שקבע בן גוריון ולפי עקרונות ההגות הדתית היהודית."
הצטרפות להצלחה לעוצמה ולגדולה,Ultra-Nationalism,ערוץ 7,,לא רלוונטי לכלל-פרט,,
ראש בקיר,Ultra-Nationalism,ערוץ 7,,,"  • מתברר שהחנק בעזה בחוסר הדלק והמזון, הביא למצב של כמעט כניעה, אבל ראשי החמאס, איימו על חבריהם שאם הם ייכנעו, הם יערפו את הראשים של בני משפחותיהם. 
  • מה קורה בישראל? שוב יש קולות ממחנה ""השלום"", שראינו מאוסלו דרך הגירוש ב2005 ועד ה7.10, כמה קורבנות זה הביא, שיוצאים נגד תוכנית טראמפ.
  • ","  • לא לפני ש""מודים"" לביידן ולשאר מדינות העולם שכפו על מדינת ישראל להכניס סיוע הומניטרי. ככה זה כאשר רואים את העזתים עדיין כבני אדם, העולם המערבי פשוט לא מבין ערבית כלל.
  • מי שכן הבין את משמעות הסיוע וניסה למנוע אותו, היו חברי ארגון ""צו 9"". המטרה המוצהרת שלהם הייתה למנוע את הגעת הסיוע ההומניטרי לעזה, בטענה שהוא משמש לחיזוק חמאס ומעודד את הפעילות הטרוריסטית שלהם. הם טוענים כי הסיוע אינו מגיע לפלסטינים האזרחים אלא לידי מבנה הטרור של חמאס. אבל מייסדי הארגון נתקלו בסנקציות מהממשל האמריקני בשל פעילותם, שנתפסה כמנוגדת למדיניות ארה""ב בנוגע לסיוע הומניטרי וזכויות אדם. ככה בעצם מדינת ישראל איבדה עוד מנוף לחץ חשוב ""בזכות"" ממשל ביידן. 
  • כעת יש סיבה לאופטימיות, כי יש מנהיג חדש- ישן שמבין טוב מאוד מה יש בעזה. 
  • האמת הם צודקים, הטראמפ-ספר זאת הטבה לעזתים לתת להם להגר. צריך לכתחילה היה להשמיד אותם כליל. האג יאשימו אותנו ברצח עם? זה בסדר! גם על פחות מזה האשימו אותנו. "
התפטרות לא תחפה: העסקה המופקרת חתומה גם על סמוטריץ' ובן גביר,Ultra-Nationalism,סרוגים,,לא רלוונטי לפרט-וכלל,,
