Title,Type(s),עיתון,חשוב,הערות,כלל-פרט (נקודתי),כלל-פרט (כללי)
"ואחרי היום ה–42, האם פנינו להסדר או למלחמת סמוטריץ' ובן גביר?",Critical,הארץ,!!!,"לא מאמר על עסקת החטופים, החטופים מוזכרים ממש קצת","  • נתניהו יתחיל במהרה לחפש כל תירוץ להיכנע לימין הקיצוני, לקיים את הבטחתו להמשיך את המלחמה בעזה ולהפקיר את החטופים שנותרו למות מוות אטי ומייסר בשבי.
  • - ייתכן שהמדינה תחליט ללכת לדרך ההסדרה וייתכן שהיא תלך לדרך של הרס, כיבוש והתנחלות בעזה…
- …יהיה ברור שהיא הופכתֿ, רשמית, למדינת המתנחלים.
- האם ישראל תרחיב את הכיבוש ואת הפגיעה בזכויות האדם של הפלסטינים, או תתחיל לרסן את הפוגעים.","  • היום ה–42 הוא יום של משאל עם. 
  • זאת מדינת ישראל או מדינת המתנחלים
  • השאלה היחידה שנותרה פתוחה היא אם אזרחי ישראל ייפלו בשנית לאותה מלכודת, או שיקומו וייאבקו על מדינתם; אם צה""ל יחזור להיות צבא הגנה לישראל או שיהיה צבא כיבוש; אם יישבו בממשלה ובכנסת אנשים חדורי אמונה שאפשר לבנות את המדינה מחדש, או ""נערי גבעות"" שיעדיפו לבנות עוד מאחז על פני שיקום החברה הישראלית. השאלה היא, האם תהיה זו תחילתה של דרך של הרגעה והסדרה, או ראשיתה של מלחמת מאות שנים, שתגבה את הדמים של כולנו למען בית מקדש שלישי או ארץ ישראל הגדולה."
תכנית השלבים לחיסול החטופים,Critical,הארץ,!!!,,"  • מדוע לא להציל את חייהם של חטופים שעלולים למות דווקא בזמן המו""מ על שחרורם, ומדוע לסכן את חייהם של חיילים, שכל משימתם תהיה רק להיות נוכחים בשטח עד סיום המו""מ בהמתנה להוראה לסגת?
  • והציבור האילם? הוא יוכל לצרף גם את הכישלון הזה לדף חשבון הנפש
  • - זמנו של חשבון הנפש הציבורי עוד יגיע, ותידרש בו תשובה על שאלה צורבת אחת: איך נכשל הציבור ולא הצליח בכוחותיו לכופף את ידי הממשלה, לכפות את הפסקת האש ולהציל את החטופים
- הממשלה הזאת כבר הוכיחה שחייה חשובים לה מכל שיקול אחר","  • אין לשגות באשליות. שאיפת ההתבססות וההתבוססות בעזה וחלום ההתנחלות בה לא נעלמו
  • הממשלה הזאת כבר הוכיחה שחייה חשובים לה מכל שיקול אחר, ועל כן צריך להתכונן לתרחיש שבו לאחר שחרור 33 חטופים תימשך מלחמת השמד על עזה. חיי שאר החטופים ייהפכו לנזק אגבי, שולי לעומת גודל החזון. והציבור האילם? הוא יוכל לצרף גם את הכישלון הזה לדף חשבון הנפש
  • "
ארגון טרור יכול להפוך לשותף מדיני. טראמפ כבר יצר את התקדים,Critical,הארץ,!,כמעט ולא מתייחס לעסקה.,,"  • אלא שעכשיו, כשעסקת חטופים הולכת ומבשילה, מכתיבה נסיגה של כוחות צה""ל מחלקים מסוימים בעזה ותחייב נסיגה מלאה לצורך השלמתה, ישראל נדרשת למצוא חלופה לחמאס שתנהל את הרצועה. החלופה הזאת מצויה ברמאללה, שגם היא מעוטרת בפי ישראל בתואר ""ארגון טרור""."
"הביזוי של נשים פלסטיניות בידי חיילינו עוד יצוץ בבית, בעבודה ובדייט הבא",Critical,הארץ,!,,"  • חיילים ישראלים משתעשעים בהלבשה תחתונה של נשים פלסטיניות. 
  • חיילים מנופפים בלעג בתחתוני נשים עזתיות, שהפכו לפליטות או נהרגו. 
  • - מאות גברים, שלמדו בשנה האחרונה שזה מצחיק להשתמש במיניותן ובתחתוניהן של נשים חסרות אונים כדי לבזות אותן בפרהסיה, לא ישכחו את זה לפתע כשיפשטו את המדים.
- משום שפשעיהם של חיילי צה""ל הם באחריותנו הישירה כישראלים,","  • במצבים כאלה, חילול הגוף הפרטי מייצג את חילול האומה כולה, וכך אלימות מגדרית הופכת לנשק טקטי, שנועד להטיל אימה על האוכלוסייה ולגזול ממנה את כבודה ואת אנושיותה.
  • היכולת של הלוחמים להגיע למגירות התחתונים של נשים פלסטיניות ולעשות בהן כאוות נפשם מסמלת את שליטתם המוחלטת בחייהם ובגורלם של פלסטינים בעזה ובגדה, גם בזירות האינטימיות ביותר; ואילו הדריסה הפומבית של הפרטיות, כאמצעי לשעשוע ההמון, מעודדת דה־הומניזציה של פלסטינים והתייחסות אליהם כאל אובייקטים חסרי זכויות ואוטונומיה.
  • בעקבות 7 באוקטובר, נפוצה בישראל השאלה ""איפה ארגוני הנשים העולמיים"" ומדוע הם אינם מגנים את פשעי המין שביצע חמאס. באותו האופן, אפשר לתהות איפה ארגוני הנשים הישראליים ומדוע הם נאלמו דום לנוכח סרטוני ההלבשה התחתונה — שמבזים נשים פלסטיניות ונשים בכלל. "
"חמאס כל כך ""לא-פרטנר"" שישראל לא מפסיקה לדבר איתו. הכל לשם הנצחת הסכסוך",Critical,הארץ,!,,"  • בישראל רואים באסירים אלה טרוריסטים. אבל הגיע הזמן להזכיר שפעמים רבות גיבור בעיני צד אחד הוא טרוריסט בעיני הצד השני. למה ללכת רחוק? מנחם בגין נחשב בישראל לגיבור, ובבריטניה לטרוריסט. ודוד בן־גוריון, אבי האומה בישראל, הוא אבי הנכבה בעיני הפלסטינים.","  • ""הדברים נמדדים בסיומת שלהם"", אומרים הערבים, והסיומת כאן, היא אמירה חדה של המנהיגות הישראלית שבשבילה חמאס הוא המנהיג הבלעדי של העם הפלסטיני, ובתור כזה ישראל, בהפוך על הפוך, תמשיך להתנכר לזכויותיו, כל עוד חמאס, במיוחד אחרי הטבח הנורא אך גם לפני, הוא המושך בחוטים."
האדונים מתרעמים. הילידים לא מתנהגים יפה,Critical,הארץ,!,,"- והנה, הפלא ופלא, גם המתפכחים החדשים, ובעצם כמעט כל היהודים הישראלים, מיישרים קו עכשיו עם ""כהנא צדק"", ובעצם עם התפיסה הציונית הישנה-נושנה, שעל פיה אנחנו פה, בפינה הזאת של המזרח התיכון, הנאורים, הצודקים, המוסריים, המתקדמים והתרבותיים והם הברברים הפרימיטיביים הרוצחים האכזרים. אנחנו הווילה והם הג'ונגל, כמו שאמרנו מלכתחילה וידענו מתמיד.
","  • ועכשיו גם הם חושבים, כמו כולם, שכל העזתים – זקנים, נשים, חמאס וטף – הם רוצחים ברברים אכזריים מלידתם, מתרבותם, מעצם קיומם ומהותם, ויש להעביר את כולם מהארץ, לארץ אחרת או מן העולם.
  • אז מה, לא זה מה שרציתם? לא לזה התפללתם ופיללתם?
  • הצטרפות אל הדעה הרווחת, המנצחת, הכהניסטית.
  • תפיסת ""הניצחון המוחלט"", האשלייתית מלכתחילה, של נתניהו והכהניסטים שהיתה אמורה לחסל ולמוטט את החמאס ולהפוך את העזתים לאפר ואבק ולמלא את רצועת עזה ביהודים – נכשלה כישלון חרוץ, וטקסי שחרור החטופות והשבויות מעזה רק מוכיחים זאת.
  • על כך קם כעסם של המתפכחים החדשים – על כישלונה של ישראל, אחת המעצמות הצבאיות האדירות בעולם, שלא הצליחה להוריד את חמאס, את העזתים, את הפלסטינים, על הברכיים, והנבלות ממשיכים שלא להתנהג ולעשות כרצוננו.
  • המוכיחים כביכול את היות העזתים, והפלסטינים בכלל, המיץ של התחתית של הזבל האנושי, בני-מוות שיש להכחידם מהעולם.
  • טבח הנקם שלנו ברבבות הזקנים, הנשים והילדים בעזה. 
  • אין ולא יכולה להיות גזירה שווה בין העם המדכא לעם המדוכא. שהרי אתם – ""המפוכחים"" הישנים ו""המתפכחים"" החדשים – כועסים על הפלסטינים לא כריב איש עם אחיו, אלא כאדונים המתרעמים על הילידים על שאינם מתנהגים כפי שאנחנו מצפים מהם, כלומר כופים עליהם."
"ארבע התצפיתניות חזרו על הרגליים, אך טוטו החטופות בין חמאס לממשלה נמשך",Critical,הארץ,,,"  • כבר עמדו ארבע התצפיתניות החטופות על במה בלב עזה ההרוסה ונופפו בידיהן; התמונה של ארבע הצעירות עומדות ומחייכות.
  • - ברור מה ממשלת ישראל היתה שמחה להשיג בפסטיבל החזרת החטופות המרגש מדי שבוע — הרגעת הדחף למחות על תחלואיה והפקרותיה, השכחת העוול הנורא שנגרם בכך שלקח כל כך הרבה זמן להגיע להסכם, ובעיקר, סימוא עיני הציבור מכל מה שמתרחש בינתיים בשטחים, שאליהם מפנים כרגע ישראל והמתנחלים את תסכולם על הפסקת האש שנכפתה בעזה ואת תאוות הנקם שאינה יודעת שובע.
- עם ישראל מרוט העצבים היה עסוק בניחושים ובהשערות.
- אנחנו חייבים להמשיך להילחם להשבת כל החטופים האחרים, ובעיקר לסיומה של המלחמה הארורה הזאת. סיומה במובן הרחב ביותר האפשרי — כלומר סיום הסכסוך.
- גם שמחת השיבה של התצפיתניות החטופות תימהל בדמעות יגון ואבל רבות מנשוא, ישראליות ופלסטיניות.","  • מגישי הטלוויזיה, שקיבלו על עצמם את התפקיד המיותר להוביל את הציבור דרך האירועים ולהסביר להם כל הזמן איך הם אמורים להרגיש, תוך הדגשת חלקם בסיפור, כמובן, ביקשו להבהיר: ""הן חוזרות על הרגליים, מחייכות, ברור שעברו תופת, אבל הן גיבורות, חוזרות על הרגליים, כשהן מול המון עזתי, מחייכות ומחזיקות ידיים"". 
  • כי גם אם יוחזרו כל החטופים ותושלם הנסיגה מעזה, הכוחות מחרחרי המלחמה פועלים במלוא עוזם מאחורי הקלעים כדי שמעגל הדמים ימשיך לזרום. 
  • "
אני מכחישה את טבח שמיני עצרת. היה טבח ב–7 באוקטובר,Critical,הארץ,,,"  • ראיתי לא כבר כרזת חטופים: ""460 יום. איך הם עדיין שם"". הם עדיין שם כי הממשלה הזאת עדיין כאן. הם עדיין שם כי הם חשובים פחות מקואליציה עם איתמר בן גביר. הם עדיין שם כי הם חשובים פחות מהרצון לבנות התנחלויות. הם עדיין שם כי הם חשובים פחות מסיכויי נתניהו להימנע מהכלא. 
  • בהנצחה של חטופים שחיים עדיין, שאפשר להציל, כאילו היו זיכרון רחוק ומתפוגג.
  • - אבל יו""ר הוועדה, שמחה רוטמן, טען בדיון שהוא קיבל כמה פניות בנושא וכי ""כשהאויבים שלנו בחרו בכוונה לעשות את האירועים הללו הם לא הסתכלו על לוח השנה הלועזי אלא היהודי"".
- בקרוב לא תוכלו להכחיש עוד את ""טבח שמיני עצרת"". זה ייאסר על פי חוק. ועדת חוקה, זאת שלא מוצאת זמן להורי החטופים, מצאה את הזמן לדון השבוע בהצעת החוק הזאת לקריאה שנייה ושלישית.
- לכן גם בנימין נתניהו אובססיבי כל כך בקשר לשם של המלחמה. אולי צבע חדש יצייר טוב יותר את מאות החיילים הישראלים ההרוגים, את עשרות אלפי הפלסטינים ההרוגים ברצועת עזה, את הנכים, את החטופים שעדיין שם.
  • ","  • שינוי השם סמלי, אבל כך גם הצעת החוק. היא לא הוגשה כי היא נחוצה, היא הוגשה כי הח""כים כועסים. לכן היא גם תעבור. היא בזבוז זמנם של חברי הכנסת ושל הציבור, וכמובן שנוסחה ברישול כך שתפגע גם בחופש הביטוי ותאפשר להכניס אנשים בקלות לכלא.
  • וזאת הרי הנקודה: אין במדינה גורם שמכחיש את טבח 7 באוקטובר יותר מהממשלה הזאת. הרי מהו הניסיון הנואל שלה להקים ועדת חקירה פוליטית לטבח, אם לא הכחשה בקנה־מידה אפי?
  • מעולם לא היתה בישראל ממשלה שעסוקה כל כך במיתוג ומיתוג מחדש. את העבר אי אפשר לשנות, ואת המתים אי אפשר להחזיר. אבל אפשר לעבור על ההיסטוריה בטוש גדול וזוהר ולקוות, שאם יעבור די זמן כבר לא ישימו לב.
  • "
"אחרי הפסקת האש, המלחמה הסמויה שעדיין מתנהלת היא זו של נתניהו באזרחים",Critical,הארץ,,,"- אחרי הפסקת האש, המלחמה הסמויה שעדיין מתנהלת היא מלחמתו של נתניהו באזרחי המדינה. וכל עוד פרטי ההסכם המלאים מוסתרים, הוא ימשיך לתמרן את הציבור לצרכיו.
  • ","  • שהציבור משתתף בעל כורחו בתוכנית הריאלטי האכזרית ביותר שאפשר להעלות על הדעת, וממשלתו היא שכפתה עליו את ההשתתפות הזאת.
  • אבל זה רק חלק מהתמונה הגדולה, משום שלרוב ההתעללות בציבור אחראית ממשלת ישראל ובנימין נתניהו. ""בכל פעם ששליט עריץ ביקש לדכא את נתיניו, היה מוסר לידיהם עם אחר שיוכל לענותו ובכך יקבל פיצוי על הדיכוי הבא מלמעלה"", כתב רש""ר הירש על פרשת שמות.
  • כל מלחמה מלווה בשקרים מכוונים ומניפולציות, בהסתרות ובמידע מוטעה. אבל ב
  • מקרה של מלחמת 7 באוקטובר, שגם את שמה מנסה נתניהו להנדס, מוודאים שלעולם לא נדע את שיעורם.
  • - הסלוגן השקרי שדובר צה""ל מכר לציבור, על פי דרישת הדרג המדיני, ולפיו ""רק לחץ צבאי יביא את החטופים"" והכשל הטרגי של התזה הזאת ידועים כיום לכולם. אבל זה היה אפשרי רק באמצעות הרס מוחלט של העובדות. גם בנוגע לחטופים וגם ביחס לפשעי המלחמה שישראל ביצעה בעזה.
  • "
"המורה התייפחה כשדיברה על ילדי עזה, ואז מסרה שהמנהל ביטל את המפגש",Critical,הארץ,,,"- זאת בשל פרסומים שפרסמתי ברשתות ""וחוצים את הקווים האדומים שהצבנו בבית החינוך"". כשביקשתי דוגמה הופניתי לפוסט שבו קראתי לאנשים לקרוא את הכתבה במוסף 'הארץ' על תחקיר פשעי המלחמה הממוסמך שערך ד""ר לי מרדכי, וכן לשימוש המכליל שלי בשם צה""ל כגוף שמבצע פשעי מלחמה.
- בהצלחה לך, דביר קפלן. אם עוד תהיה למדינה הזו תקומה, הודות לאנשים שלא נכנעים ונאבקים בברבריות שהסימן הראשון לה, כדברי חנה ארנדט, הוא אובדן האמפתיה, עוד ילמדו עליך כדוגמה מובהקת להתקרנפות, להשתקת מי שעדיין העזו להשמיע את קולם","  •  היא בדיוק עמדה להתקשר ולהודיע לי שהמפגש בוטל. היא ציינה כי אף שאינה קרובה אלי בדעה, גם היא כואבת את הרג הילדים בעזה ומזועזעת מהאטימות הישראלית למצבם. היא התייפחה ממש כשדיברה על כך.
  • לשווא ניסיתי להסביר את ההבדל בין דעות גזעניות ששוללות את קיומו של זולת ומתירות את דמו, לבין דעות הומניסטיות המבקשות לשים קץ לסבל של שני העמים, שכואבות את כאבם של החפים מפשע. 
  • "
